sr_no,log
497,UPDATE SCORE;-7939;-7739
498,COMPLETED DT3;Moulic complete;
499,UPDATE SCORE;-7739;-7439
500,COMPLETED DT2;Moulic complete;
501,UPDATE SCORE;-7439;-6939
502,RT_completed;3;Medicine morning;
503,UPDATE SCORE;-6939;-6839
504,RT_completed;7;Cream night;
505,UPDATE SCORE;-6839;-6739
506,RT_completed;4;Medicine night;
507,UPDATE SCORE;-6739;-6639
508,RT_completed;8;23:00;
509,UPDATE SCORE;-6639;-6539
510,"TD_completed;23;""Add daily task"" gets shifted to to do BUG;542;"
511,UPDATE SCORE;-6539;-5997
512,NEW DAY;20230215;DAILY CHARGE;
513,RESET_DT;
514,UPDATE SCORE;-5997;-6997
515,RT_completed;0;Open GRL;
516,UPDATE SCORE;-6997;-6977
517,ET;Walk;20230214;248;
518,UPDATE SCORE;-6977;-6729
519,COMPLETED DT1;Add Daily Task;
520,UPDATE SCORE;-6729;-6529
521,COMPLETED DT2;Add Daily Task;
522,UPDATE SCORE;-6529;-6229
523,RT_completed;3;Medicine morning;
524,UPDATE SCORE;-6229;-6129
525,RT_completed;4;Medicine night;
526,UPDATE SCORE;-6129;-6029
527,RT_completed;5;Cream morning;
528,UPDATE SCORE;-6029;-5929
529,RT_completed;7;Cream night;
530,UPDATE SCORE;-5929;-5829
531,COMPLETED DT3;Add Daily Task;
532,UPDATE SCORE;-5829;-5329
533,UNDO DT3;Add Daily Task;
534,UPDATE SCORE;-5329;-5829
535,NEW DAY;20230217;DAILY CHARGE;
536,RESET_DT;
537,UPDATE SCORE;-5829;-7829
538,ET;Walk;20230216;205;
539,UPDATE SCORE;-7829;-7624
540,COMPLETED DT1;Add Daily Task;
541,UPDATE SCORE;-7624;-7424
542,COMPLETED DT3;Add Daily Task;
543,UPDATE SCORE;-7424;-7124
544,RT_completed;0;Open GRL;
545,UPDATE SCORE;-7124;-7104
546,RT_completed;3;Medicine morning;
547,UPDATE SCORE;-7104;-7004
548,RT_completed;5;Cream morning;
549,UPDATE SCORE;-7004;-6904
550,RT_completed;6;Cream evening;
551,UPDATE SCORE;-6904;-6804
552,RT_UNDO;6;Cream evening;
553,UPDATE SCORE;-6804;-6904
554,RT_completed;4;Medicine night;
555,UPDATE SCORE;-6904;-6804
556,UNDO DT1;Add Daily Task;
557,UPDATE SCORE;-6804;-7104
558,COMPLETED DT1;Add Daily Task;
559,UPDATE SCORE;-7104;-6804
560,COMPLETED DT2;Add Daily Task;
561,UPDATE SCORE;-6804;-6304
562,RT_completed;7;Cream night;
563,UPDATE SCORE;-6304;-6204
564,RT_completed;2;Book reading 15 pages;
565,UPDATE SCORE;-6204;-6054
566,NEW DAY;20230218;DAILY CHARGE;
567,RESET_DT;
568,UPDATE SCORE;-6054;-7054
569,COMPLETED DT2;ai dependable;
570,UPDATE SCORE;-7054;-6854
571,COMPLETED DT1;cloth back from laundry;
572,UPDATE SCORE;-6854;-6554
573,UNDO DT1;cloth back from laundry;
574,UPDATE SCORE;-6554;-6854
575,COMPLETED DT3;create add task to dt feature;
576,UPDATE SCORE;-6854;-6554
577,UNDO DT3;create add task to dt feature;
578,UPDATE SCORE;-6554;-6854
579,COMPLETED DT3;create add task to dt feature;
580,UPDATE SCORE;-6854;-6554
581,UNDO DT3;create add task to dt feature;
582,UPDATE SCORE;-6554;-6854
583,UNDO DT2;ai dependable;
584,UPDATE SCORE;-6854;-7054
585,RT_completed;0;Open GRL;
586,UPDATE SCORE;-7054;-7034
587,RT_completed;5;Cream morning;
588,UPDATE SCORE;-7034;-6934
589,RT_completed;7;Cream night;
590,UPDATE SCORE;-6934;-6834
591,NEW DAY;20230220;DAILY CHARGE;
592,RESET_DT;
593,TD_ADD;cloth back from laundry;
594,TD_ADD;ai dependable;
595,TD_ADD;create add task to dt feature;
596,UPDATE SCORE;-6834;-8834
597,ET;YesterdayDTs;1000;
598,UPDATE SCORE;-8834;-7834
599,NEW DAY;20230221;DAILY CHARGE;
600,RESET_DT;
601,UPDATE SCORE;-7834;-8834
602,COMPLETED DT2;Add Daily Task;
603,UPDATE SCORE;-8834;-8634
604,TD_DEL;31;ai dependable;
605,TD_DEL;30;cloth back from laundry;
606,ET;Walk;20230220;575;
607,UPDATE SCORE;-8634;-8059
608,ET;Walk;20230219;750;
609,UPDATE SCORE;-8059;-7309
610,ET;Walk;20230219;532;
611,UPDATE SCORE;-7309;-6777
612,RT_completed;0;Open GRL;
613,UPDATE SCORE;-6777;-6757
614,COMPLETED DT3;bottle x3 ;
615,UPDATE SCORE;-6757;-6457
616,COMPLETED DT1;self notes of vnc;
617,UPDATE SCORE;-6457;-5957
618,NEW DAY;20230222;DAILY CHARGE;
619,RESET_DT;
620,UPDATE SCORE;-5957;-6957
621,RT_completed;0;Open GRL;
622,UPDATE SCORE;-6957;-6937
623,RT_completed;6;Cream evening;
624,UPDATE SCORE;-6937;-6837
625,COMPLETED DT3;Add Daily Task;
626,UPDATE SCORE;-6837;-6637
627,COMPLETED DT2;Add Daily Task;
628,UPDATE SCORE;-6637;-6337
629,COMPLETED DT1;Add Daily Task;
630,UPDATE SCORE;-6337;-5837
631,ET;Walk;20230221;384;
632,UPDATE SCORE;-5837;-5453
633,TD_ADD;Wash clothes + add to do categ + vnc;
634,NEW DAY;20230223;DAILY CHARGE;
635,RESET_DT;
636,UPDATE SCORE;-5453;-6453
637,COMPLETED DT3;fnv;
638,UPDATE SCORE;-6453;-6253
639,TD_DEL;31;Wash clothes + add to do categ + vnc;
640,RT_completed;0;Open GRL;
641,UPDATE SCORE;-6253;-6233
642,RT_completed;6;Cream evening;
643,UPDATE SCORE;-6233;-6133
644,COMPLETED DT2;clothes;
645,UPDATE SCORE;-6133;-5833
646,COMPLETED DT1;Design td category;
647,UPDATE SCORE;-5833;-5333
648,ET;Walk;20230223;522;
649,UPDATE SCORE;-5333;-4811
650,RT_ADD;Breakfast;500;
651,RT_DEL;31;Breakfast;
652,RT_ADD;Breakfast;500;
653,RT_DEL;31;Breakfast;
654,TD_ADD;Recurr bug;
655,RT_ADD;Breakfast;;
656,RT_DEL;10;Breakfast;
657,RT_ADD;Breakfast;500;
658,TD_completed;31;Recurr bug;310;
659,UPDATE SCORE;-4811;-4501
660,RT_completed;7;Cream night;
661,UPDATE SCORE;-4501;-4401
662,RT_completed;8;23:00;
663,UPDATE SCORE;-4401;-4301
664,TD_ADD;Wash bedsheet;
665,NEW DAY;20230224;DAILY CHARGE;
666,RESET_DT;
667,UPDATE SCORE;-4301;-5301
668,RT_completed;0;Open GRL;
669,UPDATE SCORE;-5301;-5281
670,RT_completed;10;Breakfast;
671,UPDATE SCORE;-5281;-4781
672,COMPLETED DT3;change bedsheet;
673,UPDATE SCORE;-4781;-4581
674,WALK;20230223;499;
675,UPDATE SCORE;-4581;-4082
676,COMPLETED DT1;add walk tab;
677,UPDATE SCORE;-4082;-3782
678,COMPLETED DT2;mailbox needs to be sorted;
679,UPDATE SCORE;-3782;-3282
680,TD_ADD;Create and assign labels in gmail;
681,TD_completed;32;Wash bedsheet;312;
682,UPDATE SCORE;-3282;-2970
683,RT_completed;6;Cream evening;
684,UPDATE SCORE;-2970;-2870
685,ET;Learn;100;
686,UPDATE SCORE;-2870;-2770
687,RT_completed;4;Medicine night;
688,UPDATE SCORE;-2770;-2670
689,Learning;100;
690,UPDATE SCORE;-2670;-2570
691,RT_completed;7;Cream night;
692,UPDATE SCORE;-2570;-2470
693,NEW DAY;20230225;DAILY CHARGE;
694,RESET_DT;
695,UPDATE SCORE;-2470;-3470
696,WALK;20230224;251;
697,UPDATE SCORE;-3470;-3219
698,RT_completed;0;Open GRL;
699,UPDATE SCORE;-3219;-3199
700,TD_ADD;Sort up saved items;
701,RT_completed;10;Breakfast;
702,UPDATE SCORE;-3199;-2699
703,TD_ADD;vinod's pc reset;
704,COMPLETED DT2;Find ML competetion (look atleast 100);
705,UPDATE SCORE;-2699;-2499
706,TD_ADD;Dummy;
707,TD_DEL;36;Dummy;
708,RT_DEL;3;Medicine morning;
709,RT_DEL;4;Cream morning;
710,COMPLETED DT3;Confirmation pop up;
711,UPDATE SCORE;-2499;-2199
712,TD_ADD;Rishabh tasks;
713,COMPLETED DT1;Mail complete clean;
714,UPDATE SCORE;-2199;-1699
715,TD_completed;35;vinod's pc reset;202;
716,UPDATE SCORE;-1699;-1497
717,TD_completed;36;Rishabh tasks;834;
718,UPDATE SCORE;-1497;-663
719,TD_DEL;33;Create and assign labels in gmail;
720,TD_ADD;Automate labelling mail;
721,TD_DEL;36;Automate labelling mail;
722,TD_ADD;Automate labelling mail + add dt feature with dropdown + create notebook and basics for competition;
723,NEW DAY;20230226;DAILY CHARGE;
724,RESET_DT;
725,UPDATE SCORE;-663;-1663
726,TD_DEL;36;Automate labelling mail + add dt feature with dropdown + create notebook and basics for competition;
727,TD_ADD;Vinod laptop 2;
728,RT_completed;0;Open GRL;
729,UPDATE SCORE;-1663;-1643
730,WALK;20230225;674;
731,UPDATE SCORE;-1643;-969
732,COMPLETED DT1;automate mail labelling;
733,UPDATE SCORE;-969;-769
734,DT_Create;1;automate mail labellin
735,DT_Create;1;automate mail labelling
736,COMPLETED DT2;add dt feature;
737,UPDATE SCORE;-769;-469
738,COMPLETED DT3;create notebook and directory for competition;
739,UPDATE SCORE;-469;31
740,TD_completed;36;Vinod laptop 2;104;
741,UPDATE SCORE;31;135
742,RT_completed;5;Cream night;
743,UPDATE SCORE;135;235
744,TD_ADD;Study of money influx;
745,NEW DAY;20230227;DAILY CHARGE;
746,RESET_DT;
747,UPDATE SCORE;235;-765
748,TD_ADD;Vnc project;
749,DT_Create;1;Comp data read and 4 charts
750,TD_ADD;2nd years session GC;
751,DT_Create;2;Limit completed to do visibility
752,DT_Create;3;Pc clean and back up 1 hr
753,WALK;20230226;682;
754,UPDATE SCORE;-765;-83
755,RT_completed;0;Open GRL;
756,UPDATE SCORE;-83;-63
757,RT_completed;8;Breakfast;
758,UPDATE SCORE;-63;437
759,RT_ADD;Call ;200;
760,TD_ADD;Unstop quiz 24th march;
761,TD_ADD;Clothes laundry;
762,TD_ADD;Cycle puncture;
763,TD_ADD;Office install;
764,ET;RandomTask;177;
765,UPDATE SCORE;437;614
766,COMPLETED DT1;Comp data read and 4 charts;
767,UPDATE SCORE;614;814
